bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1299512,2106583,text,30106,application/pdf,"Comm Sub",https://legiscan.com/RI/text/S2004/id/2106583,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2004A.pdf
1299512,2150438,text,30078,application/pdf,"Comm Sub",https://legiscan.com/RI/text/S2004/id/2150438,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2004B.pdf
1299566,2088084,text,28812,application/pdf,Introduced,https://legiscan.com/RI/text/S2005/id/2088084,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2005.pdf
1299566,2132045,text,28696,application/pdf,Amended,https://legiscan.com/RI/text/S2005/id/2132045,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2005aa.pdf
1299419,2087939,text,56139,application/pdf,Introduced,https://legiscan.com/RI/text/S2006/id/2087939,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2006.pdf
1299419,2114453,text,49008,application/pdf,"Comm Sub",https://legiscan.com/RI/text/S2006/id/2114453,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2006A.pdf
1307543,2096640,text,7726,application/pdf,Introduced,https://legiscan.com/RI/text/S2007/id/2096640,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2007.pdf
1309636,2098713,text,8967,application/pdf,Introduced,https://legiscan.com/RI/text/S2011/id/2098713,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2011.pdf
1309306,2098430,text,7563,application/pdf,Introduced,https://legiscan.com/RI/text/S2012/id/2098430,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2012.pdf
1316008,2105707,text,115814,application/pdf,Introduced,https://legiscan.com/RI/text/S2025/id/2105707,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2025.pdf
1317198,2106959,text,21686,application/pdf,Introduced,https://legiscan.com/RI/text/S2028/id/2106959,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2028.pdf
1317102,2106866,text,29395,application/pdf,Introduced,https://legiscan.com/RI/text/S2029/id/2106866,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2029.pdf
1316900,2106676,text,18864,application/pdf,Introduced,https://legiscan.com/RI/text/S2030/id/2106676,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2030.pdf
1316933,2106705,text,16658,application/pdf,Introduced,https://legiscan.com/RI/text/S2031/id/2106705,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2031.pdf
1316905,2106680,text,12339,application/pdf,Introduced,https://legiscan.com/RI/text/S2032/id/2106680,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2032.pdf
1317150,2106912,text,18010,application/pdf,Introduced,https://legiscan.com/RI/text/S2033/id/2106912,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2033.pdf
1316922,2106695,text,14393,application/pdf,Introduced,https://legiscan.com/RI/text/S2034/id/2106695,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2034.pdf
1316988,2106759,text,104984,application/pdf,Introduced,https://legiscan.com/RI/text/S2035/id/2106759,http://webserver.rilin.state.ri.us/BillText20/SenateText20/S2035.pdf
